headword	grammar	genitive	etymology
παράτροφος	ον		
παρατρύπημα	τό	ατος	
παρατρωτής	ὁ	οῦ	παρατιτρώσκω
παρατῠλάριον	τό		
παράτῠλος	ὁ		
παράτῠπ-ος	ον		
παρατύ̆π-ωσις	ἡ	εως	
παρατῠπ-ωτικός	ον		
παραύα	ἡ		
πάραυλ-ος	ον		αὐλή
πάραυλ-ος	ον		αὐλός
παραύξ-η	ἡ		
παραύξ-ησις	ἡ	εως	
παραύστηρος	ον		
παραυχέν-ιος	ον		
παραφαίρ-εσις	ἡ	εως	
παράφᾰσις	ἡ	εως	παράφημι
παράφᾰσις	ἡ	εως	παραφαίνομαι
παρά-φθεγμα	τό	ατος	
παρα-φθορά	ἡ		
παραφῐλάγᾰθος	ὁ		
παραφλόγισμα	τό	ατος	
παρα-φορά	ἡ		
παρά-φορος	ον		παραφέρω
παρα-φορότης	ἡ	ητος	
παράφραγμα	τό	ατος	
παράφρᾰσις	ἡ	εως	
παρα-φραστής	ὁ	οῦ	
παραφρόν-ησις	ἡ	εως	
παραφρον-ία	ἡ		
παραφρόν-ιμος	ον		
παραφροσύνη	ἡ		
παράφρων	ον		φρήν
παραφῠ-άδιον	τό		
παραφῠ-άς	ἡ	άδος	παραφύω
παραφῠ-ής	ές		
παραφῠλᾰκ-ή	ἡ		
παραφῠλᾰκ-ισμός	ὁ		
παραφῠλᾰκ-ίτης	ὁ	ου	
παραφύλ-αξ	ὁ	ᾰκος	
παραφυλλίς	ἡ	ίδος	
παράφυμα	τό	ατος	
παράφῠσις	ἡ	εως	
παραφύτ-ευσις	ἡ	εως	
παράφυτ-ος	ον		
παραφων-ή	ἡ		
παραφών-ησις	ἡ	εως	
παραφων-ία	ἡ		
παράφων-ος	ον		
παραφωτισμός	ὁ		φωτίζω
παραχᾰλ-ασμάτιον	τό		
παραχάρ-αγμα	τό	ατος	
παραχαρ-ακτής	ὁ	οῦ	
παραχαρ-άξιμος	ον		
παραχειμ-ᾰσία	ἡ		
παρᾰχελῳ-ίτης	ὁ	ου	
παραχερσία	ἡ		χέρσος
παράχηλος	ον		
παραχορήγ-ημα	τό	ατος	
παράχρησις	ἡ	εως	παραχράομαι
παρά-χροος	ον		
παρά-χρωμος	ον		
παρά-χρωσις	ἡ	εως	
παρά-χῠμα	τό	ατος	
παρά-χῠσις	ἡ	εως	
παρα-χύτης	ὁ	ου	
παρά-χωμα	τό	ατος	
παραχώρ-ησις	ἡ	εως	
παραχώρ-ιος	ον		
παρά-ψαυσις	ἡ	εως	
παράψηξις	ἡ	εως	
παράψησις	ἡ	εως	
παράψηστος	ον		
παραψηφ-ισμός	ὁ		
παραψ-ίδιον	τό		
παράψιμον	τό		
παράψογος	ὁ		
παρα-ψυκτήριον	τό		
παρα-ψῠχή	ἡ		
παρδᾰλ-έη	ἡ		sc. δορά
παρδᾰλ-ήφορος	ον		
παρδᾰλ-ῐαγχές	τό	έος	
παρδᾰλ-ῐδεύς	ὁ	έως	
παρδᾰλ-ιοκτόνος	ον		
πάρδᾰλις	ἡ		
πάρδᾰλος	ὁ		
παρδαμάλη	ἡ		
παρδή	ἡ		
παρδιαῖος	ον		
πάρδιον	τό		
πάρδος	ὁ		
παρέγ-γραπτος	ον		
παρέγ-γρᾰφος	ον		
παρεγγύ̆-η	ἡ		
παρεγγύ̆-ημα	τό	ατος	
παρεγγύ̆-ησις	ἡ	εως	
παρεγ-κεφᾰλίς	ἡ	ίδος	
παρέγ-κλῐσις	ἡ	εως	
παρεγ-κύκλημα	τό	ατος	
παρεγχείρ-ησις	ἡ	εως	
παρέγ-χῠμα	τό	ατος	
παρέγ-χῠσις	ἡ	εως	
παρεδρ-εία	ἡ		
παρεδρ-ία	ἡ		
πάρεδρ-ος	ον		ἕδρα
πᾰρειά	ἡ		
πᾰρείας	ὁ	ου	
παρειάς	ἡ	άδος	
παρεισ-ᾰγωγή	ἡ		
παρείσ-ακτος	ον		
παρεισ-γρᾰφή	ἡ		
παρείσ-δῠσις	ἡ	εως	
παρείσ-οδος	ἡ		
παρέκ-βᾰσις	ἡ	εως	
παρεκ-βολή	ἡ		
παρεκ-δοχή	ἡ		
παρέκ-θεσις	ἡ	εως	
παρεκ-πύρωσις	ἡ	εως	
παρεκ-στροφή	ἡ		
παρέκ-τᾰσις	ἡ	εως	
παρέκτοπος	ον		
παρεκ-τροπή	ἡ		
παρέκτωρ	ὁ	ορος	
παρέκ-χῠμα	τό	ατος	
παρέκ-χῠσις	ἡ	εως	
παρέλᾰσις	ἡ	εως	
παρέλευσις	ἡ	εως	
παρέλκ-ῠσις	ἡ	εως	
παρελκ-υσμός	ὁ		
παρελκ-υστής	ὁ	οῦ	
παρέλλειψις	ἡ	εως	
παρέμ-βλησις	ἡ	εως	
παρεμ-βολή	ἡ		
παρεμβολο-ειδής	ές		
παρεμβολο-θέτης	ὁ	ου	
παρεμ-μᾰνής	ές		
παρεμ-πλοκή	ἡ		
παρεμποδ-ισμός	ὁ		
παρεμ-πολή	ἡ		
παρεμπόρ-ευμα	τό	ατος	
παρέμ-πτωσις	ἡ	εως	
παρέμ-φᾰσις	ἡ	εως	
παρεμ-φερής	ές		
παρέμ-φῠσις	ἡ	εως	
παρεν-αλλᾰγή	ἡ		
παρέν-θεσις	ἡ	εως	
παρέν-θετος	ον		
παρεν-θήκη	ἡ		
παρεν-θύμησις	ἡ	εως	
παρέν-θυρσος	ὁ		
παρενῐαυτοφόρος	ον		
παρεν-όχλημα	τό	ατος	
παρεν-όχλησις	ἡ	εως	
παρέν-σταξις	ἡ	εως	
παρέν-ταξις	ἡ	εως	
παρέν-τευξις	ἡ	εως	
παρεν-τῠχία	ἡ		
παρεξ-ᾰγωγή	ἡ		
παρεξ-ειρεσία	ἡ		
παρεξ-έλεγχος	ὁ		
παρεξ-εύρημα	τό	ατος	
πάρεξις	ἡ	εως	παρέχω
παρέξ-οδος	ἡ		
παρέπαινος	ὁ		
παρεπ-αίσθημα	τό	ατος	
παρεπι-γρᾰφή	ἡ		
παρεπι-δημία	ἡ		
παρεπί-δημος	ον		
παρεπι-στροφή	ἡ		
παρεπι-τομή	ἡ		
παρεργ-άτης	ὁ	ου	πάρεργον
πάρεργος	ον		ἔργον
πάρεσις	ἡ	εως	
παρέστιος	ον		ἑστία
παρέσχᾰτος	ον		
παρετοιμ-ᾰσία	ἡ		
πάρετος	ον		
παρευδῐ-αστής	ὁ	οῦ	
παρευδοκί̆μ-ησις	ἡ	εως	
παρευν-αστήρ	ὁ	ῆρος	
παρευν-έτις	ἡ	ιδος	
πάρευν-ος	ον		
παρεύρ-εσις	ἡ	εως	
παρεύρ-ημα	τό	ατος	
παρεύρ-ησις	ἡ	εως	
παρεύτακτ-ος	ὁ		
παρεφηβεία	ἡ		
παρέψησις	ἡ	εως	ἕψω
πάρηβος	ον		ἥβη
παρηγόρ-ημα	τό	ατος	
παρηγορ-ία	ἡ		
παρήγορ-ος	ον		ἀγορεύω
παρήθ-ημα	τό	ατος	
πᾰρηϊάς	ἡ	άδος	
πᾰρηΐς	ἡ	ΐδος	
παρῆλιξ	ὁ	ῐκος	
παρήλιος	ὁ		
παρήμερ-ος	ον		
πάρηξις	ἡ	εως	
παρηορία	ἡ		
παρηόριος	ον		
παρήχ-ημα	τό	ατος	
παρήχ-ησις	ἡ	εως	
παρθεν-εία	ἡ		
παρθέν-ειος	ον		
παρθέν-ευμα	τό	ατος	
παρθέν-ευσις	ἡ	εως	
παρθεν-εών	ὁ	ῶνος	
παρθεν-ία	ἡ		
παρθεν-ίας	ὁ	ου	
παρθεν-ική	ἡ		
παρθέν-ιον	τό		
παρθέν-ιος	ον		
παρθεν-ίς	ἡ	ίδος	
παρθεν-ισκάριον	τό		
παρθενο-κόμος	ον		
παρθενο-κτονία	ἡ		
παρθενο-κτόνος	ον		
παρθεν-οπίπης	ὁ	ου	ὀπιπεύω
παρθενό-σφᾰγος	ον		
παρθενό-χρως	ὁ	ωτος	
παρθεν-ών	ὁ	ῶνος	
παρθεσίη	ἡ		παρατίθημι
πάρθυμα	τό	ατος	
παρῐαμβ-ίς	ἡ	ίδος	
παρί̆αμβ-ος	ὁ		
παρῐέρη	ἡ		
Πᾰριουργής	ές		
παριππ-ᾰσία	ἡ		
πάριππ-ος	ον		
παρίσθμιον	τό		ἰσθμός 'neck'
παρίσκεψις	ἡ	ιος	
πάρῐσ-ος	ον		
παρῐσ-ότης	ἡ	ητος	
παρῐσόχρονος	ον		
παριστία	ἡ		ἑστία
παριστίδιος	ον		
παρίστριος	ον		
παρίσχιος	ον		
παρί̆σ-ωμα	τό	ατος	
παρί̆σ-ωσις	ἡ	εως	
παρκάλισις	ἡ	εως	
πάρμη	ἡ		
Παρνᾱσός	ὁ		
πάρνοψ	ὁ	οπος	
παροδ-εία	ἡ		
παροδ-εύσιμος	ον		
παρόδ-ευσις	ἡ	εως	
παροδ-ία	ἡ		
παρόδ-ιος	ον		
παροδ-ίτης	ὁ	ου	
παροδ-οιπόρος	ὁ		
πάροδος	ὁ		
πάροδος	ἡ		
παροδώτης	ὁ	ου	
παροίδ-ησις	ἡ	εως	
παροικ-εσία	ἡ		
παροίκ-ησις	ἡ	εως	
παροικ-ία	ἡ		πάροικος II
παροικοδόμ-ημα	τό	ατος	
πάροικος	ον		
παροιμ-ία	ἡ		
παροιμ-ιαστής	ὁ	οῦ	
παροιμ-ιογράφος	ὁ		
πάροιμος	ον		
παροίν-ημα	τό	ατος	
παροιν-ία	ἡ		
παροίν-ιος	ον		
πάροιν-ος	ον		
παροίστρ-ησις	ἡ	εως	
πάροιστρ-ος	ον		
πᾰροίτερος	ον		πάροιθε
παροίχησις	ἡ	εως	
παροκωχή	ἡ		παρέχω
παρολκ-ή	ἡ		παρέλκω
παρόλκ-ημα	τό	ατος	
πάρολκ-ος	ὁ		
παρομοί-ωσις	ἡ	εως	
παρομολογ-ία	ἡ		
παρόμφημα	τό	ατος	ὀμφή
παρονομ-ᾰσία	ἡ		
παροξ-ίς	ἡ	ίδος	
παροξ-υντής	ὁ	οῦ	
παροξ-υσμός	ὁ		
παροξύ̆τον-ος	ον		
παροπλ-ισμός	ὁ		
παροπτ-έος	ον		παροράω, παρόψομαι
παρόπτ-ησις	ἡ	εως	
πάροπτ-ος	ον		
παρόρ-ᾱμα	τό	ατος	
παρόρ-ᾱσις	ἡ	εως	
παρόργ-ισμα	τό	ατος	
παροργ-ισμός	ὁ		
παρόρειος	ον		ὄρος
παρόρθιος	ον		
παρορία	ἡ		
παρορ-ισμός	ὁ		
παρορ-ιστής	ὁ	οῦ	
παρόρμ-ημα	τό	ατος	
παρόρμ-ησις	ἡ	εως	
πάρορνῐς	ὁ	ῑθος	
Πάρος	ἡ		
πᾶρος	τό		
παρουάτιος	ον		οὖς
παρουλίς	ἡ	ίδος	οὐλή
πάρουλος	ον		οὖλος B
παρουλότρῐχος	ον		
πάρουρος	ὁ		οὖρος B
πάρουρος	ον		οὐρά
παρουσ-ία	ἡ		πάρειμι
παροφθαλμιστής	ὁ	οῦ	
παροχέτ-ευσις	ἡ	εως	
παροχ-εύς	ὁ	έως	
παροχ-ή	ἡ		παρέχω
παρόχ-ιον	τό		
πάροχος	ὁ		ὄχος
πάροχος	ὁ		παρέχω
παρόψ-ημα	τό	ατος	
παροψ-ίδιον	τό		
παροψ-ίς	ἡ	ίδος	ὄψον
παροψ-ώνημα	τό	ατος	
πάρπᾰγος	ὁ		
παρπόδιος	ον		
παρράλιος	ον		
παρρέκτης	ὁ	ου	
παρρησί-α	ἡ		πᾶς, ῥῆσις
παρρησι-αστής	ὁ	οῦ	
παρσᾶς	ὁ		
παρτομίς	ἡ	ίδος	
πάρυγρ-ος	ον		leg. πάνυγρος
πάρυδρος	ον		
παρῠπάτη	ἡ		sc. χορδή
παρῠπᾰτοειδής	ές		
παρυπό-μνησις	ἡ	εως	
παρυπό-στᾰσις	ἡ	εως	
παρύ̆φ-ασμα	τό	ατος	
παρῠφ-ή	ἡ		
παρῠφ-ής	ές		
πάρφυκτος	ον		ε
παρῴα	ἡ		
παρῳδ-ή	ἡ		
παρῳδ-ία	ἡ		
παρωκεάν-ιος	ον		
παρωκεαν-ῖτις	ἡ		sc. γῆ
παρωλένιος	ον		
παρώμᾰλος	ον		
παρωμίς	ἡ	ίδος	
πᾰρών	ὁ	ῶνος	
παρωνύ̆μ-ησις	ἡ	εως	
παρωνῠμ-ία	ἡ		
παρωνῠμ-ίασμα	τό	ατος	
παρωνύ̆μ-ιος	ον		
παρώνῠμ-ος	ον		
παρωνῠχ-ία	ἡ		
παρωνῠχ-ίς	ἡ	ίδος	
πάρῳον	τό		
παρωπία	ἡ		
παρωπίς	ἡ	ίδος	
παρωραϊσμός	ὁ		
παρώρεια	ἡ		ὄρος
παρωρείτης	ὁ	ου	
πάρωρος	ον		ὥρα
παρωροφίς	ἡ	ίδος	ὄροφος
παρώτιον	τό		
παρωτίς	ἡ	ίδος	οὖς
πάρωχρος	ον		
πᾱσῐ-άναξ	ὁ	ακτος	
πᾱσί̆-γνωστος	ον		
πᾱσῐ-δάμεια	ἡ		
πᾱσί̆-δηλος	ον		
πᾱσῐ-θέα	ἡ		
πᾱσῐ-θρύλητος	ον		
Πᾱσῐ-κράτεια	ἡ		
πᾱσῐ-μεδέουσα	ἡ		
πᾱσῐ-μέλων	ον		
πᾰσίολος	ὁ		
Πάσιος	ὁ		πᾶσις
πᾱσῐπόρνη	ἡ		
πᾶσις	ἡ	εως	πάομαι
πᾱσῐ-φᾰής	ές		
πᾱσῐ-φᾰνής	ές		
πᾱσῐ-φίλητος	ον		
πᾱσί̆-φῐλος	ον		
πάσκος	ὁ		
πάσμα	τό	ατος	
πασμάτιον	τό		
πασπᾰλέτης	ὁ	ου	
πασπάλη	ἡ		
πασπᾰληφάγος	ον		
πάσπᾰλος	ὁ		
πασπερμεῖον	τό		
πασσᾰγία	ἡ		
πασσᾰλ-εῖον	τό		
πασσά̆λ-ιον	τό		
πασσᾰλ-ίσκος	ὁ		
πασσᾰλ-ιστής	ὁ	οῦ	
πασσᾰλοκοπ-ία	ἡ		
πάσσᾰλος	ὁ		
πάσσαξ	ὁ	ᾱκος	
πάσσον	τό		
πάσσων	ον		
παστάς	ἡ	άδος	
πάστας	ὁ	α	πάομαι
παστάτᾱς	ὁ		
παστείλη	ἡ		
παστέος	ον		πάσσω
παστή	ἡ		
παστιλλ-άριος	ὁ		
παστιλλ-ᾶς	ὁ	ᾶ	
πάστιλλ-ος	ὁ		
παστός	ὁ		
παστο-φόριον	τό		 παστοφορ-εῖον Phot. Cyr.
παστο-φόρισσα	ἡ		
παστο-φόρος	ον		
πάστρια	ἡ		πάσσω
πάσχα	τό		
πασχητι-ασμός	ὁ		
πᾰτᾰγ-ή	ἡ		
πᾰτά̆γ-ημα	τό	ατος	
πᾰτᾰγοδρόμος	ον		
πάτᾰγος	ὁ		
Πᾰταικίων	ὁ	ωνος	
πᾰτακτροράφος	ὁ	ος [ρᾰ]	
πᾰτάνεψις	ἡ	εως	
πᾰτάνη	ἡ		
πάταχνον	τό		
πᾰτελίς	ἡ	ίδος	
πάτελλα	ἡ		
Πᾰτελλοχάρων	ὁ	οντος	πάτελλα, χαίρω
πᾰτερ-ία	ἡ		
πᾰτέρ-ιον	τό		
πά̆τ-ημα	τό	ατος	
πᾰτήρ	ὁ		
πάτ-ησις	ἡ	εως	
πατ-ησμός	ὁ		
πατ-ητήριον	τό		
πατ-ητής	ὁ	οῦ	
πατικουρᾶς	ὁ		
πάτος	ὁ		
πάτος	τό	εος	
πάτρᾱ	ἡ		πατήρ
πατρ-ᾰγᾰθία	ἡ		
πατρ-ᾰδελφεός	ὁ		
πατρ-ᾰδέλφεια	ἡ		
πατρ-άδελφος	ὁ		
πατρ-ᾰλίτωρ	ὁ	ορος	
πατρ-ᾰλοίας	ὁ		άω
πάτρ-αρχος	ὁ		ἄρχω
πάτρη	ἡ		
πατρι-ά	ἡ		πατήρ
πατρι-άρχης	ὁ	ου	πατριά
πατρίδιον	τό		
πατρίκιος	ὁ		
πατρικιότης	ἡ	ητος	
πατρίληκτος	ον		
πάτριος	ον		
πατρι-ώτης	ὁ		
πατρό-βουλος	ὁ		
πατρο-γένειος	ὁ		
πατρο-γενής	ές		
πατρο-γέρων	ὁ	οντος	
πατρο-δίδακτος	ον		
πατρο-δώρητος	ον		
πατρο-κᾰσιγνήτη	ἡ		
πατρο-κᾰσίγνητος	ὁ		
Πάτροκλος	ὁ		
πατρο-κόμος	ον		
πατρο-κτονία	ἡ		
πατρο-κτόνος	ον		
πατρο-λάθησις	ἡ	εως	
πατρ-ολέτωρ	ὁ	ορος	
πατρ-ολοός	ὁ		
πατρο-μήτωρ	ὁ	ορος	
πατρο-μύστης	ὁ	ου	
πατρονομ-ία	ἡ		
πατρονόμ-ος	ὁ		
πατρο-παράδοσις	ἡ	εως	
πατρο-παράδοτος	ον		
πατρο-πάτωρ	ὁ	ορος	
πατρο-ποίητος	ον		
πατρό-πολις	ἡ	εως	
πατρο-ρραίστης	ὁ	ου	
πατρο-στερής	ές		
πατρο-τῠπία	ἡ		
πατρο-τύπτης	ὁ	ου	
πατρο-τυψία	ἡ		
πατρούεος	ον		
πατροῦχος παρθένος	ἡ		
πατρο-φάγος	ον		
πατρο-φονεύς	ὁ		
πατρο-φόνος	ον		
πατρο-φόντης	ὁ	ου	
πατρυιός	ὁ		
πατρωϊστής	ὁ		
πάτρων	ὁ	ωνος	
πατρων-εία	ἡ		
πατρών-ης	ὁ	ου	
πατρων-ίκιον	τό		
πατρών-ισσα	ἡ		
πατρωνῠμ-ία	ἡ		
πατρώνῠμ-ος	ον		
πατρῷος	ον		
πατρωός	ὁ		
πάτρως	ὁ		
παττᾰλίας	ὁ	ου	
πάτωρ	ὁ	ορος	*πάομαι
παῦλα	ἡ		παύω
παυρίδιος	ον		
παυρο-επής	ές		
παῦς	ὁ		
παυσ-άνεμος	ον		
παυσ-ᾰνίας	ὁ	ου	
παυσί-κᾰκος	ον		
παυσι-κάπη	ἡ		κάπτω
παυσί-λῡπος	ον		
παυσί-νοσος	ον		
παυσι-νύστᾰλος	ον		
παυσί-πονος	ον		
παῦσις	ἡ	εως	
παυσ-τήρ	ὁ	ῆρος	
παυσ-τήριος	ον		
παύσ-τωρ	ὁ	ορος	
παυσ-ώδῠνος	ον		ὀδύνη
παυσ-ωλή	ἡ		
Παφλᾰγ-ών	ὁ	όνος	
πάφλ-ασμα	τό	ατος	
Πάφος	ἡ		
παχάνοψ	ὁ	οπος	
πάχετος	ον		
πάχης	ὁ	ητος	
πάχν-η	ἡ		πήγνυμι
πάχος	τό	εος	παχύς
πᾰχύ-αιμος	ον		
πᾰχυ-βλεφᾰρία	ἡ		
πᾰχυ-δάκτῠλος	ον		
πᾰχύ-δενδρος	ον		
πᾰχυ-δερμία	ἡ		
πᾰχύ-δερμος	ον		
πᾰχύ-θριξ	ὁ		
πᾰχυ-κάλᾰμος	ον		
πᾰχυ-κάρδιος	ον		
πᾰχύ-καυλος	ον		
πᾰχύ-κνημος	ον		
πᾰχῠ-μέρεια	ἡ		
πᾰχῠ-μερής	ές		
πᾰχύ̆-νοος	ον		
πάχυν-σις	ἡ	εως	
πᾰχύ-πους	ὁ		
πᾰχύ-ρῑν	ὁ	ῑνος	
πᾰχύ-ρραβδος	ον		
πᾰχύ-ρριζος	ον		
πᾰχύ-ρρυγχος	ον		
πᾰχύ-σαρκος	ον		
πᾰχυ-σκελής	ές		
πάχ-υσμα	τό	ατος	
παχ-υσμός	ὁ		
πᾰχύ-σπερμος	ον		
πᾰχύ-στομος	ον		
πᾰχύτης	ἡ	ητος	παχύς
πᾰχυ-τράχηλος	ον		
πᾰχύ-φλοιος	ον		
πᾰχύ-φρων	ον		
πᾰχύ-φωνος	ον		
πᾰχυ-χειλής	ές		
πᾰχύ-χῡμος	ον		
πᾱώταρ	ὁ	α	παθιώταρ cod.
Πεδᾰγείτνυος	ὁ		
πεδάγρετος	ον		ἀγρέω
πεδαίχμιος	ον		
πεδάοικος	ον		
πεδάορος	ον		
πεδάρσιος	ον		
πεδᾱωριστής	ὁ	οῦ	
πέδη	ἡ		πέζα
πεδητής	ὁ		
πεδήτης	ὁ	ου	
πεδιανόμος	ὁ		
πεδῐάσιος	ον		
πέδιον	τό		
πεδίον	τό		πέδον
πεδιονόμος	ον		
πεδῐοῦχος	ον		
πεδιοφύλαξ	ὁ	ᾰκος	
πεδίσκη	ἡ		
Πεδιώ	ἡ	οῦς	
πεδο-βάμων	ον		
πεδοκοίτης	ὁ	ου	
πέδον	τό		πούς
πεδορραντήριον	τό		
πέδορτος	ον		πέδον, ὄρνυμαι
πέδορτος	ον		
Πεδο-σείων	ὁ	οντος	
πεδο-σκᾰφής	ές		
πεδο-στῐβής	ές		
πεδο-τρῐβής	ές		
πέδουρος	ον		
πέδων	ὁ	ωνος	
πεδώρῠχος	ον		ὀρύσσω
πέζᾰ	ἡ	ης	
πεζ-ᾰκοντιστής	ὁ	οῦ	
πέζ-αρχος	ὁ		
πεζ-έμπορος	ον		
πεζ-ίδιον	τό		
πέζις	ἡ	εως	
πεζίς	ἡ	ίδος	
πεζίτης	ὁ	ου	
πεζο-βόας	ὁ		
πεζο-γρᾰφία	ἡ		
πεζο-γράφος	ὁ		
πεζο-λέκτης	ὁ	ου	
πεζο-λογία	ἡ		
πεζο-λόγος	ὁ		
πεζο-μάχης	ὁ	ου	
πεζο-μᾰχία	ἡ		
πεζο-μάχος	ον		
πεζο-νόμος	ον		
πεζο-πορία	ἡ		
πεζο-πόρος	ον		
πεζότης	ἡ	ητος	
πεζο-φᾰνής	ές		φαίνομαι
πεζο-φόρος	ον		πέζα II.2
πεῖ	τό		
πειθ-ᾰνάγκη	ἡ		
πειθ-αναλογία	ἡ		
πειθ-άνωρ	ὁ	ορος	
πειθάρχ-ησις	ἡ	εως	
πειθαρχ-ία	ἡ		
πείθαρχ-ος	ον		ἀρχή
πειθ-ήμων	ον		
πειθ-ήνιος	ον		ἡνία
πειθοδῐκαιόσῠνος	ον		
Πειθώ	ἡ		
πεῖνα	ἡ	ης	
πειν-ᾰλέος	ον		
πειρά	ἡ		
Πειραιεύς	ὁ		
πεῖραρ	τό	ᾰτος	also πεῖρας, v. infr. I.5
πείρ-ᾱσις	ἡ	εως	
πειρ-ασμός	ὁ		
πειρ-αστής	ὁ	οῦ	
πειρ-ᾱτήριον	τό		
πειρ-ᾱτήριος	ον		
πειρ-ᾱτής	ὁ	οῦ	
πειρήν	ὁ	ῆνος	
πείρινς	ἡ	ινθος	
πεῖσα	ἡ	ης	πείθω
Πεισῐᾰνάκτειος	ον		
πεισί-βροτος	ον		
πεισι-θάνᾰτος	ον		
πεισίμβροτος	ον		
πεῖσις	ἡ	εως	πάσχω, πείσομαι
πεισῐχάλῑνος	ον		
πεῖσμα	τό	ατος	
πεῖσμα	τό	ατος	πείθω
πεισμ-άτιον	τό		
πεισμ-άτιος	ον		
πεισμ-ονή	ἡ		
πεῖσος	τό		
πεισ-τήρ	ὁ	ῆρος	πείθομαι
πεισ-τήριος	ον		
πειώλης	ὁ	ου	
πέκος	τό		
πεκούλιον	τό		
πέκ-τειον	τό		
πεκ-τήρ	ὁ	ῆρος	
πελά̆γ-ιος	ον		
πελᾰγ-ισμός	ὁ		
πελᾰγο-δρόμος	ον		
πέλᾰγ-ος	τό	εος	
πελᾰγό-στροφος	ον		
πέλανορ	ὁ		
πελαργ-ῐδεύς	ὁ	έως	
πελαργ-ῖτις	ἡ	ιδος	
πελαργ-ός	ὁ		
πελαργ-όχρως	ὁ	ωτος	
Πελασγός	ὁ		
πέλᾰσις	ἡ	εως	
πελαστής	ὁ	οῦ	
πελάτ-ης	ὁ		πελάζω
Πελδεκεῖτις	ἡ	ιδος	
πελεθοβάψ	ὁ		
πέλεθος	ὁ		
πελέθρ-ισμα	τό	ατος	
πέλεθρ-ον	τό		
Πελεθρονιάς	ἡ	άδος	
πέλεια	ἡ		cf. πελλός
πελειάς	ἡ	άδος	
πελειοθρέμμων	ον		 τρέφω
πελεκάν	ὁ	ᾶνος	
πελεκᾶς	ὁ	ᾶντος	
πελέκ-ημα	τό	ατος	
πελέκ-ησις	ἡ	εως	
πελεκ-ητής	ὁ	οῦ	
πελεκ-ήτωρ	ὁ	ορος	
πελεκ-ηφόρος	ὁ		
πελεκῑνοειδής	ές		
πελεκῖνος	ὁ		
πελέκ-ιον	τό		
πελεκ-ισμός	ὁ		
πέλεκκον	τό		πέλεκυς
πελεκοφόρος	ὁ		
πελεκῠνάριον	τό		
πελιδν-αῖος	ον		
πελιδν-ότης	ἡ	ητος	
πελίδν-ωμα	τό	ατος	
πελίδν-ωσις	ἡ	εως	
πέλιξ	ἡ	ικος	
πελῐ-ότης	ἡ	ητος	
πελίχνη	ἡ		
πελί-ωμα	τό	ατος	
πελί-ωσις	ἡ	εως	
πέλλα	ἡ	ης	
πελλαϊκόν	τό		
πελλαῖος	ον		
Πελλάνιος	ὁ		
πελλαντήρ	ὁ	ῆρος	πέλλα
πελλᾶς	ὁ	ᾶ	πελλός
πελλίνιον	τό		
πελλίς	ἡ	ίδος	
πελλοράφος	ον		Lat. pellis, ῥάπτω
πελλός ή	ον		
πέλμα	τό	ατος	
Πελοπόννησος	ἡ		
Πέλοψ	ὁ	οπος	
πελτ-άριον	τό		
πελτ-αστής	ὁ	οῦ	
πέλτης	ὁ	ου	
πελτ-ίδιον	τό		
πελτ-ίον	τό		
πέλτον	τό		
πέλυξ	ὁ	υκος	
Πελυσιών	ὁ	ῶνος	
πέλωρ	τό		
πελωρ-ιάς	ἡ	άδος	
πελώρ-ιος	ον		also τελώριος (q. v.
πελωρ-ίς	ἡ	ίδος	
πέλωρ-ον	τό		
πέλωρ-ος	ον		
πελωχικόν	τό		
πέμμα	τό	ατος	πέσσω
πεμμάτιον	τό		
πεμμᾰτολόγος	ον		
πεμμᾰτουργός	ὁ		
πεμπάδ-αρχος	ὁ		
πέμπ-αθλον	τό		
πεμπ-άμερος	ον		
πεμπ-άς	ἡ	άδος	
πεμπ-αστής	ὁ		
πεμπεβόηος	ον		
πέμπελος	ον		
πεμπτ-αῖος	ον		
πεμπτέος	ον		
πεμπτημόριον	τό		
πεμπτήρ	ὁ	ῆρος	
πέμπτος	ον		πέντε
πεμπώβολον	τό		πέμπε, ὀβελός
πεμφηρίς	ἡ	ίδος	
πέμφιξ	ἡ	ῑγος	
πεμφίς	ἡ	ίδος or ῖδος	
πεμφρηδών	ἡ	όνος	
πέμψις	ἡ	εως	πέμπω
πενεστ-εία	ἡ		
πενέστ-ης	ὁ	ου	πένομαι, cf. D.H.2.9
πένης	ὁ	ητος	πένομαι
πένησσα	ἡ		
πενητῠλίδας	ὁ	α	
πενθ-ᾰλέος	ον		
πενθ-άς	ἡ	άδος	
πένθ-εια	ἡ		
πενθερ-ά	ἡ		
πενθερ-ῐδεύς	ὁ	έως	
πενθέρ-ιος	ον		
πενθεροκτόνος	ον		
πενθερός	ὁ		
πενθεροφθόρος	ον		
πενθέτηρ-ος	ον		
πένθ-ημα	τό	ατος	
πενθ-ημερία	ἡ		
πενθ-ήμερος	ον		
πενθημῐ-αρτάβη	ἡ		
πενθημί̆-γῠον	τό		
πενθημῐ-μερής	ές		
πενθημῐ-πόδιος	ον		
πενθημῐ-σπίθᾰμος	ον		
πενθημῐ-τᾰλαντιαῖος	ον		
πενθ-ήμων	ον		
πένθ-ησις	ἡ	εως	
πενθ-ητήρ	ὁ	ῆρος	
πενθ-ητήριος	ον		
πένθ-ῐμος	ον		
πένθος	τό	εος	
πενία	ἡ		πένομαι
πενιχρ-ᾰλέος	ον		
πενιχρ-ότης	ἡ	ητος	
